iib_code,eq_zone,eq_rate
2089,Zone IV,0.05
2090,Zone IV,0.05
2091,Zone IV,0.05
2092,Zone IV,0.05
2093,Zone IV,0.05
2094,Zone IV,0.05
2095,Zone IV,0.05
2096,Zone IV,0.05
2097,Zone IV,0.05
2098,Zone IV,0.05
2099,Zone IV,0.05
2100,Zone IV,0.05
2101,Zone IV,0.05
2102,Zone IV,0.05
2103,Zone IV,0.05
2104,Zone IV,0.05
2105,Zone IV,0.05
2106,Zone IV,0.05
2107,Zone IV,0.05
2108,Zone IV,0.05
2109,Zone IV,0.05
2110,Zone IV,0.05
2111,Zone IV,0.05
2112,Zone IV,0.05
2113,Zone IV,0.05
2114,Zone IV,0.05
2115,Zone IV,0.05
2116,Zone IV,0.05
2117,Zone IV,0.05
2118,Zone IV,0.05
2119,Zone IV,0.05
2120,Zone IV,0.05
2121,Zone IV,0.05
2122,Zone IV,0.05
2123,Zone IV,0.05
2124,Zone IV,0.05
2125,Zone IV,0.05
2126,Zone IV,0.05
2127,Zone IV,0.05
2128,Zone IV,0.05
2129,Zone IV,0.05
2130,Zone IV,0.05
2131,Zone IV,0.05
2132,Zone IV,0.05
2214,Zone IV,0.05
2133,Zone IV,0.05
2134,Zone IV,0.05
2135,Zone IV,0.05
2136,Zone IV,0.05
2137,Zone IV,0.05
2138,Zone IV,0.05
2139,Zone IV,0.05
2140,Zone IV,0.05
2141,Zone IV,0.05
2142,Zone IV,0.05
2143,Zone IV,0.05
2144,Zone IV,0.05
2231,Zone IV,0.05
2145,Zone IV,0.05
2146,Zone IV,0.05
2147,Zone IV,0.05
2148,Zone IV,0.05
2216,Zone IV,0.05
2149,Zone IV,0.05
2150,Zone IV,0.05
2151,Zone IV,0.05
2152,Zone IV,0.05
2153,Zone IV,0.05
2154,Zone IV,0.05
2155,Zone IV,0.05
2156,Zone IV,0.05
2157,Zone IV,0.05
2158,Zone IV,0.05
2159,Zone IV,0.05
2160,Zone IV,0.05
2161,Zone IV,0.05
2162,Zone IV,0.05
2163,Zone IV,0.05
2232,Zone IV,0.05
2164,Zone IV,0.05
2165,Zone IV,0.05
2166,Zone IV,0.05
2167,Zone IV,0.05
2168,Zone IV,0.05
2169,Zone IV,0.05
2170,Zone IV,0.05
2171,Zone IV,0.05
2172,Zone IV,0.05
2173,Zone IV,0.05
2174,Zone IV,0.05
2175,Zone IV,0.05
2176,Zone IV,0.05
2177,Zone IV,0.05
2178,Zone IV,0.05
2180,Zone IV,0.05
2181,Zone IV,0.05
2183,Zone IV,0.05
2184,Zone IV,0.05
2185,Zone IV,0.05
2186,Zone IV,0.05
2187,Zone IV,0.05
2188,Zone IV,0.05
2189,Zone IV,0.05
2211,Zone IV,0.05
2190,Zone IV,0.05
